starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 09 01:31:41 2015	1425875501	1	23	24	23
Mon Mar 09 01:31:41 2015	1425875501	1	33	34	33
Mon Mar 09 01:31:41 2015	1425875501	1	44	44	44
Mon Mar 09 01:31:41 2015	1425875501	0	56	56	56
Mon Mar 09 01:31:41 2015	1425875501	1	66	66	65
Mon Mar 09 01:31:41 2015	1425875501	1	78	79	78
Mon Mar 09 01:31:41 2015	1425875501	1	88	88	88
Mon Mar 09 01:32:46 2015	1425875566	0	90	90	90
Mon Mar 09 01:31:41 2015	1425875501	0	92	92	92
Mon Mar 09 01:31:41 2015	1425875501	0	92	92	92
Mon Mar 09 01:31:41 2015	1425875501	0	92	92	92
Mon Mar 09 01:31:41 2015	1425875501	0	92	92	92
Mon Mar 09 01:32:46 2015	1425875566	0	92	92	92
Mon Mar 09 01:31:41 2015	1425875501	0	93	94	93
Mon Mar 09 01:31:41 2015	1425875501	0	93	94	93
Mon Mar 09 01:31:41 2015	1425875501	0	94	94	93
Mon Mar 09 01:31:41 2015	1425875501	0	95	95	94
Mon Mar 09 01:31:41 2015	1425875501	0	96	96	96
Mon Mar 09 01:31:41 2015	1425875501	0	97	97	96
Mon Mar 09 01:32:27 2015	1425875547	0	98	98	98
Mon Mar 09 01:31:41 2015	1425875501	0	98	98	97
Mon Mar 09 01:32:40 2015	1425875560	0	98	98	98
Mon Mar 09 01:32:40 2015	1425875560	0	99	99	99
Mon Mar 09 01:32:40 2015	1425875560	0	99	99	99
Mon Mar 09 01:32:24 2015	1425875544	0	99	99	99
Mon Mar 09 01:32:40 2015	1425875560	0	99	99	99
Mon Mar 09 01:32:11 2015	1425875531	0	99	99	99
Mon Mar 09 01:31:52 2015	1425875512	0	99	99	99
Mon Mar 09 01:32:15 2015	1425875535	0	99	99	99
Mon Mar 09 01:32:10 2015	1425875530	0	99	99	99
Mon Mar 09 01:32:25 2015	1425875545	0	99	99	99
Mon Mar 09 01:32:10 2015	1425875530	0	99	99	99
Mon Mar 09 01:32:11 2015	1425875531	0	99	99	99
Mon Mar 09 01:32:40 2015	1425875560	0	99	99	99
Mon Mar 09 01:32:11 2015	1425875531	0	99	99	99
Mon Mar 09 01:32:40 2015	1425875560	0	99	100	99
Mon Mar 09 01:32:25 2015	1425875545	0	99	100	99
Mon Mar 09 01:32:04 2015	1425875524	0	100	100	99
Mon Mar 09 01:32:25 2015	1425875545	0	100	100	99
Mon Mar 09 01:32:45 2015	1425875565	0	100	100	99
Mon Mar 09 01:32:04 2015	1425875524	0	100	100	99
Mon Mar 09 01:32:07 2015	1425875527	0	100	100	99
Mon Mar 09 01:32:16 2015	1425875536	0	100	100	100
Mon Mar 09 01:32:16 2015	1425875536	0	100	100	100
Mon Mar 09 01:32:43 2015	1425875563	0	100	100	99
Mon Mar 09 01:32:03 2015	1425875523	0	100	100	100
Mon Mar 09 01:32:11 2015	1425875531	0	100	100	100
Mon Mar 09 01:32:04 2015	1425875524	0	100	100	100
Mon Mar 09 01:32:00 2015	1425875520	0	100	100	100
Mon Mar 09 01:31:57 2015	1425875517	0	100	100	99
Mon Mar 09 01:32:16 2015	1425875536	0	100	100	100
Mon Mar 09 01:32:25 2015	1425875545	0	100	100	100
